mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_21,mfcc_22,mfcc_23,mfcc_24,mfcc_25,mfcc_26,mfcc_27,mfcc_28,mfcc_29,mfcc_30,mfcc_31,mfcc_32,mfcc_33,mfcc_34,mfcc_35,mfcc_36,mfcc_37,mfcc_38,mfcc_39,mfcc_40,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spec_cent,spec_bw,rolloff,zcr,track_name,album_name,artist_name
-129.49818420410156,169.83917236328125,-73.89945220947266,33.754817962646484,-12.237299919128418,12.56666374206543,-7.942150115966797,4.534532070159912,0.6085547208786011,-0.5449768304824829,7.818603515625,-0.8323055505752563,6.7584004402160645,-1.8298019170761108,3.3943111896514893,-1.481989860534668,1.1523898839950562,4.501990795135498,2.2692711353302,0.3846007585525512,-1.2680343389511108,-3.233215808868408,-3.479719638824463,-0.7432919144630432,-0.2718008756637573,-4.014919757843018,-1.5633282661437988,2.8821725845336914,-1.8346850872039795,0.4078140556812286,-2.7838916778564453,-3.00972056388855,-2.8659846782684326,-3.5554003715515137,-0.8878913521766663,-2.527796030044556,-5.118473052978516,-6.0372185707092285,-3.5665924549102783,-3.0873711109161377,0.4329234063625335,0.3796976208686828,0.4849249720573425,0.3539107143878937,0.3924956321716308,0.3189725279808044,0.4461865127086639,0.4362258613109588,0.3651729524135589,0.4496267139911651,0.3403548896312713,0.4923282265663147,2311.8551913116107,2295.9188218578884,4287.774072416796,0.0645653692192337,All You Need Is Love - Remastered 2009,Yellow Submarine (Remastered),Beatles
-265.9944763183594,215.4335784912109,-32.22646713256836,14.04590892791748,8.680017471313477,-1.3295496702194214,-4.193179130554199,4.874382019042969,-1.5113420486450195,-1.2091223001480105,-3.230283260345459,-2.5823192596435547,3.1963658332824707,-3.7145299911499023,-5.427323818206787,-7.4922919273376465,-3.2925870418548584,-5.508536338806152,-5.471489429473877,-0.5863777995109558,2.845738649368286,2.829061985015869,-0.7062418460845947,-4.935163021087647,-0.941154956817627,-1.476548671722412,-7.277053356170654,-3.121807098388672,-0.3240878880023956,-1.018856644630432,-7.234975337982178,-5.455875396728516,-1.2431825399398804,-1.0118519067764282,1.8915278911590576,1.8711395263671875,-2.6727869510650635,-3.302043437957764,-1.5902047157287598,-2.2701120376586914,0.2562683820724487,0.2986442744731903,0.4885444343090057,0.4506122469902038,0.3314898908138275,0.3347623348236084,0.5461199283599854,0.5779849290847778,0.4614546597003937,0.471504658460617,0.3988507986068725,0.3163585066795349,1344.5064317710203,1638.555490618447,2551.376238843605,0.035182704866486,Main Theme,More,Pink Floyd
-133.69984436035156,143.1103973388672,-63.19284439086914,63.68498611450195,-21.57397651672364,34.93718719482422,-9.827608108520508,5.909541606903076,-0.3066358864307403,6.7761311531066895,10.286066055297852,-3.5537123680114746,9.931787490844728,-5.35253381729126,6.425227165222168,-2.012936592102051,3.2274065017700195,-2.6429054737091064,-0.8214343786239624,0.724428117275238,1.5027085542678833,6.7567057609558105,0.6782516837120056,3.899800300598145,0.7882604598999023,1.623909831047058,2.9605283737182617,1.363964319229126,-1.9045512676239007,-5.184142589569092,-2.751103162765503,0.97084379196167,-3.174311399459839,-4.655030250549316,-4.450718879699707,0.5618762969970703,-0.295896053314209,0.9408833980560304,2.02380108833313,-4.122071743011475,0.4766157865524292,0.4228287041187286,0.4937559962272644,0.5456474423408508,0.4768057763576507,0.5734643936157227,0.454518049955368,0.4196618199348449,0.4432404339313507,0.5802755951881409,0.4799924790859222,0.3980859220027923,3053.45770971155,2996.302974052905,6294.270272742115,0.0802973224651702,The Word - Remastered 2009,Rubber Soul (Remastered),Beatles
-147.01934814453125,180.62803649902344,-51.866172790527344,62.06975173950195,-5.130166053771973,19.43220901489257,-5.179809093475342,-2.690271139144897,7.372907638549805,1.3593168258666992,7.703865051269531,0.2592331171035766,5.572438716888428,-6.854260921478272,-0.6112852096557617,-8.105133056640625,-1.5524629354476929,-1.1207081079483032,-5.290915966033936,5.735257625579834,-1.661871075630188,4.333582401275635,-0.6785836815834045,-4.438858985900879,-2.0621962547302246,-1.867148518562317,2.231600761413574,-4.027123928070068,-0.2688121497631073,-3.2507007122039795,-4.475962162017822,-0.9971622228622437,-6.43282413482666,-1.5493708848953247,-3.262781381607056,-7.627768516540527,-3.9988317489624015,4.070282936096191,4.240475177764893,-2.6866157054901123,0.3880899548530578,0.4532598257064819,0.4949226379394531,0.527916431427002,0.6135138869285583,0.4627302289009094,0.4052876234054565,0.4374761581420898,0.5938414335250854,0.6844900846481323,0.4824678897857666,0.3629972040653229,2109.1682297443645,2403.2152071560954,4572.714016090606,0.0495008344620743,The Narrow Way (Part 3) [2011 - Remaster],Ummagumma (2011 Remastered Version),Pink Floyd
-330.806884765625,205.36817932128903,-2.351545810699463,-10.422226905822754,4.199934959411621,-4.669442653656006,-0.8017345666885376,-2.063664436340332,-6.959826469421387,-6.8594069480896,-5.614874362945557,-6.109233856201172,-4.003437042236328,-1.8009536266326904,-2.0260555744171143,-3.545974016189575,-2.380908966064453,-0.3049697279930115,-1.4366124868392944,-1.64205002784729,-1.620028376579285,-2.003748655319214,-1.80615496635437,-2.325718879699707,-2.590898036956787,-2.7899272441864014,-2.348411798477173,-1.858087420463562,-1.3937453031539917,-0.343533307313919,-1.0616252422332764,-1.1359268426895142,0.4096777439117431,-0.4909947216510772,-1.8870989084243768,-0.8031671047210693,-0.5964682102203369,-2.2483134269714355,-3.0930016040802,-1.953294277191162,0.2702936232089996,0.4326222538948059,0.2292283028364181,0.2451042383909225,0.1877438426017761,0.2346426248550415,0.3429579436779022,0.2493089884519577,0.3346201777458191,0.2784550786018371,0.3151262104511261,0.2728600203990936,1058.1672291035443,1137.103943498037,1768.197641284104,0.0376071044166021,"12 Etudes, Op.25: No.9 In G Flat ""Butterfly Wings""",Chopin: Classical Hits,chopin
-200.6901092529297,158.19309997558594,-23.82898712158203,38.61387252807617,-4.360581874847412,15.041855812072754,-0.1292645186185836,3.587474822998047,-2.776862621307373,-3.5559542179107666,1.7697449922561646,-3.307750701904297,2.9038195610046387,-2.112334728240967,-6.138312339782715,-4.153437614440918,-0.5145875215530396,-1.3648123741149902,2.471964359283448,-2.605253219604492,1.3679224252700806,1.4163761138916016,-2.733348846435547,-5.0571608543396,-2.140005350112915,2.113582134246826,-3.076972961425781,-5.690584659576416,-8.200300216674805,-5.975191593170166,-2.216198205947876,-2.012215614318848,-3.760401964187622,0.6762646436691284,-5.648221492767334,-0.4448527097702026,9.032320976257324,-2.936955451965332,-5.37821102142334,-1.0904619693756104,0.3236851990222931,0.2268206924200058,0.3206784725189209,0.3257661759853363,0.4224430322647095,0.5668684840202332,0.3444239795207977,0.3615854680538177,0.3548038005828857,0.5466545820236206,0.4321798384189605,0.3141015172004699,2057.5545948347994,2443.113002143853,4114.491786897736,0.0563520779919698,Dogs,Animals,Pink Floyd
-140.08741760253906,154.09962463378906,-53.58626937866211,70.21727752685547,-22.494674682617188,32.14372253417969,-19.98648452758789,1.9149143695831297,-1.2722787857055664,-2.6053361892700195,15.43014144897461,-22.477968215942383,19.41244125366211,0.9177197217941284,-8.498026847839355,2.0895228385925293,-4.477970123291016,0.0116081591695547,-2.9904160499572754,0.1765413582324981,3.127775192260742,7.65512228012085,-4.366111278533936,-0.3759098649024963,1.904401183128357,-5.379319667816162,7.965091705322266,0.4774423241615295,0.7734965682029724,-1.8467254638671875,-5.042210102081299,0.323256641626358,-6.858904838562012,-4.230153560638428,-4.177904605865479,2.254188299179077,0.5742170214653015,1.7577359676361084,-2.289219379425049,-5.678839206695557,0.3083184659481048,0.4475820362567901,0.6404009461402893,0.5639795064926147,0.6437066197395325,0.474476546049118,0.4968646168708801,0.4074071049690246,0.3834788203239441,0.5405255556106567,0.3841050863265991,0.297044962644577,3183.7334902817665,3118.863342718295,7034.98246042352,0.0985581719838428,Corporal Clegg,A Saucerful of Secrets,Pink Floyd
-116.77761840820312,168.5933074951172,-68.8098373413086,46.61292266845703,-4.742569923400879,26.924184799194336,4.221254348754883,11.200382232666016,2.44646430015564,4.857173919677734,7.560611724853516,-0.4040303528308868,8.030198097229004,-4.695196151733398,3.945294380187988,-3.0016958713531494,5.577205657958984,2.595564365386963,-0.4062400460243225,3.8497934341430655,-0.3455896079540252,-0.17633718252182,-4.974910736083984,0.447191447019577,0.4892103970050812,-0.923908531665802,0.149402305483818,-4.331263542175293,-1.8369238376617432,-1.321410894393921,-3.568648099899292,-2.63453221321106,-3.884343862533569,-2.1851418018341064,-3.48311185836792,-0.7135668992996216,-1.5115870237350464,-1.4253458976745603,-0.2497622817754745,-3.0356204509735107,0.4855397641658783,0.429930567741394,0.3809406161308288,0.4283345341682434,0.4757808446884155,0.4831307232379913,0.5208691358566284,0.4537588655948639,0.4439370334148407,0.5179012417793274,0.5099340081214905,0.5464649200439453,2349.6785681740225,2456.5025302510867,4694.363280494146,0.0601814199158281,Oh! Darling - Remastered 2009,Abbey Road (Remastered),Beatles
-383.2904968261719,227.56369018554688,12.050353050231934,-11.969921112060549,13.176431655883787,-4.552497386932373,-11.190109252929688,-8.79847240447998,-12.88791275024414,-13.389816284179688,-10.422045707702637,-8.728623390197754,-5.9680280685424805,-0.3030895590782165,1.374069094657898,-1.192920804023743,-1.7787872552871704,-3.668370962142944,-6.389200210571289,-4.370574474334717,-1.783526062965393,-3.23449969291687,-5.782139778137207,-5.056211948394775,-1.3792537450790403,1.2791908979415894,2.616763114929199,2.7817904949188232,0.5347821116447449,-1.0213723182678225,-1.3927764892578125,-2.898799180984497,-2.9191558361053467,-0.9967941641807556,1.2340837717056274,2.6918742656707764,-0.4341329932212829,-3.036101818084717,1.3619004487991333,3.650259017944336,0.2188749462366104,0.2318543195724487,0.4134817123413086,0.3738806247711181,0.312290608882904,0.3621404469013214,0.235333040356636,0.2191143929958343,0.1741186380386352,0.3107953071594238,0.3947657942771911,0.2143468260765075,812.3812967387918,879.3065424945304,1349.8835041057953,0.0269696026025541,Mazurka in B flat major (KK 891-895),Chopin: Classical Hits,chopin
-430.0124816894531,177.18618774414062,46.75712585449219,0.317660391330719,4.624044418334961,-1.036351442337036,-9.17175006866455,-10.35085105895996,-10.705316543579102,-10.293280601501465,-9.08267593383789,-7.31954288482666,-4.483872890472412,-2.9798901081085205,-3.496284246444702,-4.142418384552002,-4.319850444793701,-4.3831868171691895,-4.661625385284424,-5.964024543762207,-8.607995986938477,-10.265308380126951,-7.613633632659912,-1.7382919788360596,2.0982980728149414,1.7796814441680908,-0.084807313978672,-1.1532002687454224,-1.244975447654724,-1.3723137378692627,-1.9764575958251955,-1.931081295013428,-0.1115955784916877,2.294996976852417,2.216466188430786,-0.7746958136558533,-2.6847803592681885,-1.0964765548706057,1.0709048509597778,1.4080171585083008,0.2664404511451721,0.3618069589138031,0.2489222437143325,0.3572437167167663,0.2799964547157287,0.2367412894964218,0.3349919617176056,0.2673574984073639,0.2484615296125412,0.1948534697294235,0.276074081659317,0.3404764831066131,679.6759251794583,959.015113134602,996.4273080737228,0.0227557202979876,"Nocturne No. 9 in B Major, Op. 32, No. 1",Meditative Chopin,chopin
